name,description,owner_avatar_url,html_url,stargazers_count,created_at,updated_at,pushed_at
reaviz,📊 Data visualization library for React. Maintained by @goodcodeus.,https://avatars.githubusercontent.com/u/63881140?v=4,https://github.com/reaviz/reaviz,989,2020-04-17T21:17:18Z,2024-08-17T14:00:28Z,2024-08-01T12:29:17Z
recharts,Redefined chart library built with React and D3,https://avatars.githubusercontent.com/u/13690587?v=4,https://github.com/recharts/recharts,23511,2015-08-07T06:50:27Z,2024-08-18T05:11:10Z,2024-08-16T16:08:50Z
semiotic,A data visualization framework combining React & D3,https://avatars.githubusercontent.com/u/12401040?v=4,https://github.com/nteract/semiotic,2430,2017-03-16T17:46:24Z,2024-08-16T03:14:59Z,2024-04-10T15:50:49Z
victory,A collection of composable React components for building interactive data visualizations,https://avatars.githubusercontent.com/u/5078602?v=4,https://github.com/FormidableLabs/victory,10945,2015-07-02T22:36:50Z,2024-08-17T19:56:40Z,2024-08-15T22:03:20Z
visx,🐯 visx | visualization components,https://avatars.githubusercontent.com/u/698437?v=4,https://github.com/airbnb/visx,19240,2017-03-15T16:25:41Z,2024-08-17T21:51:58Z,2024-08-17T00:02:53Z
Vs,Vue Visualisation Package using d3.js and leaflet.,https://avatars.githubusercontent.com/u/33961674?v=4,https://github.com/GopherJ/Vs,167,2018-03-28T10:37:29Z,2024-03-21T06:23:43Z,2020-10-21T13:13:41Z
v-chart-plugin,Easily bind a chart to the data stored in your Vue.js components.,https://avatars.githubusercontent.com/u/5210420?v=4,https://github.com/ignoreintuition/v-chart-plugin,198,2018-08-28T03:19:34Z,2024-04-11T20:13:51Z,2023-03-15T11:10:28Z
d3-composite-projections,Set of d3 projections for showing countries distant lands together,https://avatars.githubusercontent.com/u/2832885?v=4,https://github.com/rveciana/d3-composite-projections,99,2015-04-24T11:23:53Z,2024-07-28T03:56:32Z,2023-03-14T06:43:04Z
datamaps,Customizable SVG map visualizations for the web in a single Javascript file using D3.js,https://avatars.githubusercontent.com/u/11268?v=4,https://github.com/markmarkoh/datamaps,3777,2012-11-10T19:04:40Z,2024-08-16T08:30:07Z,2023-04-25T04:38:01Z
topogram,Continuous area cartograms with d3 and TopoJSON,https://avatars.githubusercontent.com/u/113896?v=4,https://github.com/shawnbot/topogram,327,2012-11-26T16:28:53Z,2024-06-09T10:26:26Z,2023-04-14T23:48:10Z
d3-exploder,Explode d3 maps to create new charts!,https://avatars.githubusercontent.com/u/4740806?v=4,https://github.com/bsouthga/d3-exploder,96,2015-01-20T23:26:42Z,2024-04-23T01:46:26Z,2020-10-01T17:46:11Z
d3-geo-polygon,Clipping and geometric operations for spherical polygons.,https://avatars.githubusercontent.com/u/1562726?v=4,https://github.com/d3/d3-geo-polygon,106,2017-09-13T18:43:12Z,2024-08-01T17:05:26Z,2024-07-11T11:37:23Z
d3-geo-projection,Extended geographic projections for d3-geo.,https://avatars.githubusercontent.com/u/1562726?v=4,https://github.com/d3/d3-geo-projection,1096,2013-06-23T16:50:58Z,2024-08-13T19:14:25Z,2023-07-12T15:24:37Z
d3-geo-scale-bar,Displays automatic scale bars for projected geospatial data.,https://avatars.githubusercontent.com/u/6527267?v=4,https://github.com/HarryStevens/d3-geo-scale-bar,45,2018-07-16T02:58:27Z,2024-07-31T16:29:21Z,2023-03-04T02:44:57Z
d3-geo-voronoi,Voronoi / Delaunay tessellations on the sphere,https://avatars.githubusercontent.com/u/7001?v=4,https://github.com/Fil/d3-geo-voronoi,228,2016-09-07T20:39:43Z,2024-07-28T23:38:23Z,2024-06-17T08:46:22Z
d3-geomap,A library for creating geographical maps based on D3.js,https://avatars.githubusercontent.com/u/60051?v=4,https://github.com/yaph/d3-geomap,133,2014-04-15T10:05:57Z,2024-08-02T10:00:53Z,2024-02-22T22:07:19Z
