html_url stargazers_count created_at updated_at pushed_at
https://github.com/gka/d3-jetpack 550 2015-02-12T21:22:19Z 2019-06-08T14:11:32Z 2019-04-25T13:49:11Z
https://github.com/tinker10/D3-Labeler 178 2013-10-26T22:50:48Z 2019-05-30T19:21:58Z 2017-11-23T00:35:25Z
https://github.com/skokenes/d3-lasso 59 2016-09-21T02:43:14Z 2019-05-07T04:49:14Z 2016-10-04T19:34:21Z
https://github.com/susielu/d3-legend 643 2015-06-10T20:19:36Z 2019-06-16T02:53:49Z 2019-05-10T20:03:00Z
https://github.com/nbremer/d3-loom 76 2017-05-25T20:42:30Z 2019-04-19T12:03:15Z 2017-08-02T08:23:15Z
https://github.com/53seven/d3-nelson-rules 15 2015-12-12T04:03:47Z 2018-03-16T16:19:36Z 2019-06-16T05:22:40Z
https://github.com/efekarakus/d3-peaks 47 2016-02-29T00:37:42Z 2018-10-04T02:48:00Z 2016-03-25T03:05:39Z
https://github.com/armollica/d3-ring-note 106 2016-05-21T21:49:36Z 2019-04-21T07:43:18Z 2016-05-25T00:18:19Z
https://github.com/schnerd/d3-scale-cluster 88 2016-09-14T17:50:46Z 2019-01-17T21:55:32Z 2018-02-08T05:19:49Z
https://github.com/zazuko/d3-sparql 63 2017-07-22T13:45:55Z 2019-06-14T09:37:45Z 2019-05-10T08:00:54Z
https://github.com/MasterMaps/d3-slider 235 2013-09-01T16:26:03Z 2019-06-08T23:20:27Z 2017-04-26T07:24:03Z
https://github.com/1wheel/d3-starterkit 130 2015-03-08T16:51:51Z 2019-06-07T08:08:50Z 2018-03-27T20:59:27Z
https://github.com/ErikOnBike/d3-template 5 2018-01-24T21:41:59Z 2019-06-09T18:33:47Z 2019-06-09T18:41:37Z
https://github.com/caged/d3-tip 1136 2012-01-07T22:22:34Z 2019-06-12T09:53:32Z 2019-02-11T00:25:48Z
https://github.com/tj/d3-tipy 92 2016-03-19T19:39:49Z 2019-05-21T15:21:09Z 2016-11-16T15:49:04Z
https://github.com/bumbeishvili/d3-tooltip 6 2017-11-06T09:15:01Z 2019-03-16T20:23:47Z 2018-02-03T14:55:33Z
https://github.com/bmschmidt/D3-trail 134 2014-06-19T00:09:38Z 2019-02-19T22:25:15Z 2015-01-05T21:38:32Z
https://github.com/Kcnarf/d3-voronoi-treemap 73 2017-11-28T13:35:04Z 2019-05-20T11:47:39Z 2019-02-19T17:33:19Z
https://github.com/vijithassar/d3-xray 24 2016-03-18T18:59:38Z 2018-10-18T20:49:49Z 2017-04-27T07:00:48Z
https://github.com/emeeks/d3.svg.circularbrush 54 2014-12-30T21:01:09Z 2019-05-16T08:19:08Z 2015-12-30T22:49:26Z
https://github.com/emeeks/d3.svg.ribbon 22 2015-08-22T20:15:29Z 2019-05-30T06:03:08Z 2015-08-23T16:47:25Z
https://github.com/twitter/d3kit 379 2015-01-10T16:38:46Z 2019-06-12T18:53:30Z 2019-06-06T22:30:13Z
https://github.com/metormote/iopctrl 35 2013-08-30T08:19:15Z 2018-02-20T13:28:51Z 2014-05-15T12:33:21Z
https://github.com/DarkMarmot/kodama 57 2015-04-06T20:08:57Z 2019-04-17T19:20:36Z 2017-05-09T16:39:06Z
https://github.com/bizweekgraphics/swoopyarrows 90 2014-06-12T22:52:35Z 2019-06-12T19:47:42Z 2017-05-02T20:09:22Z
https://github.com/1wheel/swoopy-drag 105 2016-03-04T19:24:36Z 2019-03-19T21:32:19Z 2018-07-05T03:05:09Z
https://github.com/riccardoscalco/textures 4523 2015-01-28T12:24:23Z 2019-06-15T06:23:35Z 2017-11-01T15:58:44Z
https://github.com/ebemunk/chess-dataviz 49 2015-05-01T19:49:23Z 2019-06-11T03:08:42Z 2016-12-11T02:11:27Z
https://github.com/fzaninotto/CodeFlower 531 2013-03-04T09:40:45Z 2019-06-13T22:08:47Z 2019-04-21T14:53:20Z
